,Term,Rank
0,abl,0.5462505828572387
1,access,0.44842365622378705
2,actual,0.6496038430684379
3,ad,1.0944021607354926
4,ago,0.5115940497251299
5,agre,1.0485755457879085
6,allow,0.8732560492368976
7,alreadi,0.5961905415157968
8,altern,0.36678776865009055
9,alway,0.6367686744722602
10,ani,1.0153528618350356
11,anoth,0.5416871376919411
12,anyon,0.5866687353027956
13,anyth,0.7564825830159561
14,app,3.9267682265433987
15,appl,3.4336225084969523
16,applic,0.5559290645841259
17,avail,0.6269693309929303
18,base,0.6280478635572494
19,batteri,0.510859592319967
20,becaus,1.5408252440953698
21,befor,0.6427533875292876
22,better,1.1385687417448636
23,big,0.9465295393754963
24,bit,0.360658753702382
25,buy,0.8002896370621082
26,case,0.825840606679683
27,chang,1.384821061571293
28,check,0.7149095496284055
29,choos,0.3673365374792946
30,com,0.8459492535352904
31,come,0.7388673953246937
32,compani,0.5155889023336986
33,comput,1.2322062965160976
34,control,0.4735425193953498
35,coupl,0.8143838859348279
36,creat,0.6905149465761585
37,data,0.6810609665920656
38,day,1.417717957200281
39,deal,0.4581488068544238
40,decid,0.625985265792344
41,definit,0.47108597543604375
42,design,0.8795170518065589
43,desktop,0.6297906141464241
44,develop,0.9517503340179283
45,devic,0.9312945502702316
46,did,1.0680461051710006
47,didn,0.6562398654714467
48,differ,0.888212823414497
49,discus,1.3158749284966862
50,doe,0.9073099554436074
51,doesn,0.8461756249839125
52,don,1.9860332073638483
53,drive,1.2459926460233024
54,dropbox,0.8797502585446508
55,easi,0.5164793430545576
56,edit,0.9405850496239568
57,el,0.48095703340684837
58,email,1.3374290635820414
59,enjoy,0.6174912784598786
60,everi,0.7573698275878363
61,everyth,0.5267727448951319
62,exampl,0.652869965798894
63,experi,0.7678464429806898
64,famili,1.032818074495721
65,far,0.4605266819537021
66,featur,1.251588784710231
67,feel,0.6571280514291389
68,file,1.3239628216774968
69,fix,0.7678712568352495
70,folder,0.8421188320145027
71,free,0.8647870422147481
72,fun,1.0070241168515932
73,function,0.46000514430491035
74,gener,0.6646902854407069
75,good,1.5161987498280916
76,got,0.638055857003231
77,great,1.9275161096203397
78,guess,0.4966371872276118
79,ha,1.9902772486130655
80,hand,0.6654635545517502
81,hard,0.5270938589008958
82,haven,0.7563345414434122
83,hear,1.0020281444851007
84,heard,0.9252323702547588
85,help,1.1061557721350228
86,hi,1.3374902918251599
87,home,1.4626597672660198
88,hope,0.6804717992407575
89,hour,0.3578434294251418
90,howev,0.9868039566493657
91,http,0.9805886799033043
92,idea,0.8428252744246861
93,imag,0.8457868661942067
94,includ,0.47229994743373743
95,instead,1.0399712145712592
96,interview,0.9417660551278609
97,io,1.8464270677887282
98,ipad,2.3273222986842166
99,iphon,1.0727691028635415
100,isn,0.5186205758619843
101,issu,0.7175827332845393
102,kb,0.6593591669250551
103,keyboard,2.1194322148881275
104,kind,0.4980002434724197
105,know,1.5040443785520292
106,late,0.47447033477655354
107,le,0.6796886484283077
108,let,0.5210338717978075
109,life,0.667272698341925
110,line,0.75378870238464
111,listen,1.5342079948086798
112,littl,0.5161575741988488
113,ll,0.8864804233780089
114,long,0.585814515817471
115,look,1.6290123400999317
116,lot,0.9796135000096281
117,love,1.437025398276894
118,macbook,1.2197225582886588
119,macsparki,1.5101242105379231
120,make,1.3344385688216736
121,manag,0.506856020383812
122,mani,1.1285950988750746
123,mayb,0.8809071841917032
124,mean,0.8116950716277216
125,mention,0.969481658489349
126,miss,0.61218821139833
127,month,0.654645129828712
128,mpu,0.8760739379041856
129,need,2.216429602936713
130,new,1.5020417710342167
131,nice,0.5005979994191889
132,note,2.3383149730006734
133,offer,0.4426726609247964
134,old,0.511003920308759
135,onc,0.5169207846451368
136,onli,1.6733676072360122
137,open,0.4793104165458838
138,option,1.1250577038554805
139,order,0.6146034742578415
140,parti,0.3295945626671968
141,past,0.6865756361234631
142,pay,0.6408910855281302
143,peopl,1.223587775347523
144,person,0.7496784086042141
145,phone,0.8874541270649421
146,place,0.5420583870218469
147,play,0.4987645917331945
148,podcast,1.3432929406366518
149,point,0.6023291102491936
150,possibl,0.4731562282748924
151,post,0.861011899830751
152,prefer,0.614720953480095
153,price,0.791710182170143
154,pro,1.7515130429689625
155,probabl,0.5924329732486704
156,problem,0.8952715496731158
157,product,0.7196370491104238
158,purchas,0.6483179038994559
159,read,0.599852528154893
160,realli,1.8484277056817986
161,reason,1.087593240763761
162,recent,0.5499668689428974
163,recommend,0.8230364217031175
164,regard,0.5459632614112521
165,rememb,0.7798335667066337
166,right,1.1794480656973234
167,run,0.7209591265043593
168,said,0.4925039247102058
169,say,0.8951998993428446
170,screen,0.7219507149221552
171,servic,0.9585801756081216
172,set,1.0939294218750721
173,sever,0.73616497872118
174,share,1.3020286783915287
175,shortcut,0.7062667192763847
176,similar,0.48746513758805626
177,sinc,0.8090623496463901
178,small,0.660596111559895
179,smart,0.5517561344041367
180,softwar,0.6685406413807755
181,someon,0.43672506703251385
182,someth,1.0214788155238008
183,sort,0.41112743718505945
184,space,0.5264577549023618
185,specif,0.3970030280751103
186,start,0.5428521464467593
187,state,0.7318573767094196
188,stephen,1.2998259182388319
189,storag,0.9851783706378237
190,store,0.6120368864091721
191,support,0.6927929428263315
192,sure,1.281987795271698
193,switch,1.0448274030808506
194,sync,1.1761267325122104
195,talk,1.3412741495658171
196,text,1.3323515123933196
197,thank,1.3370168375921812
198,thing,1.740579416743352
199,think,1.7734856298844353
200,thought,0.7453583201958228
201,time,2.0119406376837725
202,today,0.5742698147716392
203,tri,1.7761358761788222
204,turn,0.7104835786199835
205,type,0.8917130521284453
206,unless,0.48615698745022223
207,updat,0.5485905466985179
208,user,1.6118182925112245
209,ve,2.34585316232046
210,veri,1.1763933799816781
211,version,1.1708078917784452
212,video,1.3160083122999975
213,want,1.7598360118727114
214,watch,1.5871201038767617
215,way,1.5086263153011732
216,week,1.1492543745933084
217,went,0.6530998270480238
218,whi,0.9750138805636991
219,window,0.6593657462097201
220,wish,0.4629535444607644
221,won,0.6455930283054461
222,wonder,0.5505759199399807
223,work,2.502601699037126
224,workflow,0.7304016507498998
225,www,0.706213398031105
226,ye,0.7313891337097853
227,year,1.8969995943791162
